date,district,upazila,lat,lon,temperature,rainfall,humidity,ndvi,soil_moisture,malaria_api,malaria_tpr,dengue_incidence,diarrhoea_incidence,hospital_admissions
2015-01-01,Chittagong,Upazila_6,23.0049,89.0792,25.37,68.87,80.88,0.8,0.17,3,0.16289369651778718,1,12,6
2015-01-01,Chittagong,Upazila_7,22.7372,89.3841,25.1,146.55,74.82,0.31,0.41,4,0.18107639528385275,1,11,2
2015-01-01,Chittagong,Upazila_8,22.1973,90.5676,26.06,92.65,68.25,0.41,0.38,2,0.15230212634349446,2,5,8
2015-01-01,Chittagong,Upazila_9,22.0357,90.2231,25.4,173.77,73.52,0.28,0.48,4,0.09373212839882526,1,8,1
2015-01-01,Chittagong,Upazila_10,22.092,90.3809,25.16,149.18,86.16,0.45,0.22,7,0.12551161601681268,2,8,5
2015-01-01,Rajshahi,Upazila_1,22.262,89.2082,26.04,71.15,86.7,0.51,0.26,10,0.005273394899450401,3,8,10
2015-01-01,Rajshahi,Upazila_2,23.9478,89.5627,25.21,125.72,78.17,0.54,0.29,4,0.13431463911855993,6,4,3
2015-01-01,Rajshahi,Upazila_3,23.2682,89.524,26.14,12.06,70.29,0.81,0.24,7,0.17247274174934904,4,6,1
2015-01-01,Rajshahi,Upazila_4,22.3576,89.429,23.98,124.38,71.6,0.39,0.36,5,0.008173723253295772,1,3,4
2015-01-01,Rajshahi,Upazila_5,23.5117,89.4867,25.6,160.23,65.65,0.42,0.18,3,0.05537552962944075,3,6,5
2015-01-01,Rajshahi,Upazila_6,22.1336,90.5251,26.61,22.84,81.15,0.51,0.42,3,0.06441583311663567,2,10,4
2015-01-01,Rajshahi,Upazila_7,22.7809,89.228,25.11,106.37,78.44,0.83,0.15,2,0.04919154567690163,1,5,6
2015-01-01,Rajshahi,Upazila_8,23.9018,90.1449,25.59,51.12,67.62,0.49,0.45,6,0.08508728772328336,2,6,2
2015-01-01,Rajshahi,Upazila_9,23.8999,89.1977,24.48,138.01,83.66,0.5,0.25,9,0.14617349504072885,2,7,7
2015-01-01,Rajshahi,Upazila_10,22.8449,89.4361,24.41,11.52,81.73,0.65,0.16,6,0.1812944221929094,3,8,2
2015-01-01,Khulna,Upazila_1,23.9162,89.6632,26.6,120.1,78.89,0.25,0.33,5,0.07945745811207346,2,10,5
2015-01-01,Khulna,Upazila_2,23.6194,90.2604,25.2,136.29,66.15,0.3,0.46,9,0.09016787428082643,3,8,5
2015-01-01,Khulna,Upazila_3,22.5673,90.7337,24.75,183.45,84.17,0.48,0.4,3,0.09967355454789595,5,5,4
2015-01-01,Khulna,Upazila_4,22.4795,89.0183,25.28,92.78,80.56,0.26,0.23,2,0.09441338902199986,1,7,6
2015-01-01,Khulna,Upazila_5,23.6464,90.6377,25.57,61.37,69.91,0.42,0.2,2,0.04621495931761428,1,5,6
2015-01-01,Khulna,Upazila_6,22.6475,90.9011,25.68,84.52,88.37,0.86,0.14,1,0.04157725102920547,0,8,4
2015-01-01,Khulna,Upazila_7,23.4189,90.346,25.3,95.16,80.81,0.77,0.33,7,0.05373547187698922,3,5,3
2015-01-01,Khulna,Upazila_8,22.9225,89.2332,27.09,135.88,66.71,0.74,0.16,2,0.027377126013761455,5,5,3
2015-01-01,Khulna,Upazila_9,22.8969,90.913,23.56,60.08,85.31,0.27,0.33,8,0.006236627012256935,2,5,6
2015-01-01,Khulna,Upazila_10,22.281,89.5256,24.0,146.47,79.38,0.48,0.14,4,0.1900474707641605,2,11,5
2015-01-01,Barisal,Upazila_1,22.6921,90.7922,24.01,152.66,68.82,0.66,0.22,8,0.11925397569641061,1,4,6
2015-01-01,Barisal,Upazila_2,22.2656,90.9987,25.17,153.27,68.0,0.51,0.26,11,0.08427140045541404,2,4,0
2015-01-01,Barisal,Upazila_3,23.0847,90.8771,25.05,111.71,80.86,0.25,0.28,5,0.08351615515698568,4,8,3
2015-01-01,Barisal,Upazila_4,23.2945,90.7879,24.71,41.32,71.66,0.7,0.13,5,0.10739488457868272,2,9,4
2015-01-01,Barisal,Upazila_5,22.1376,90.449,24.57,111.19,72.07,0.81,0.4,8,0.1757259972710316,10,5,5
2015-01-01,Barisal,Upazila_6,23.2068,89.3235,25.9,25.53,76.43,0.85,0.18,6,0.1522055805004056,5,5,3
2015-01-01,Barisal,Upazila_7,22.7434,89.9253,25.45,73.71,63.68,0.51,0.36,1,0.06472204382990825,4,7,4
2015-01-01,Barisal,Upazila_8,23.8072,89.7652,25.74,95.04,79.0,0.86,0.18,7,0.04262094080501666,0,12,3
2015-01-01,Barisal,Upazila_9,22.1312,89.7563,24.06,97.51,84.56,0.34,0.25,4,0.012841787415026819,3,2,6
2015-01-01,Barisal,Upazila_10,23.5256,90.6124,25.06,71.45,75.97,0.58,0.33,3,0.09977763069027122,3,4,2
2015-01-08,Dhaka,Upazila_1,22.2868,89.4236,27.48,132.04,69.46,0.53,0.45,3,0.12728604990872736,1,9,7
2015-01-08,Dhaka,Upazila_2,22.3312,90.2207,24.65,73.54,61.42,0.28,0.28,9,0.13604564848625827,1,9,8
2015-01-08,Dhaka,Upazila_3,22.9943,90.3841,26.49,108.96,68.6,0.49,0.2,5,0.1818065041331282,1,9,3
2015-01-08,Dhaka,Upazila_4,23.2278,90.9588,24.39,158.04,63.16,0.43,0.13,5,0.03395158101750815,4,4,7
2015-01-08,Dhaka,Upazila_5,22.0362,90.557,25.36,72.45,89.66,0.26,0.36,3,0.02442198280200536,4,3,7
2015-01-08,Dhaka,Upazila_6,23.0527,89.7966,24.75,132.21,73.35,0.63,0.45,6,0.1385251904452329,7,10,8
2015-01-08,Dhaka,Upazila_7,23.3033,90.9645,26.73,128.5,78.05,0.6,0.38,6,0.06491716598005406,3,4,7
2015-01-08,Dhaka,Upazila_8,22.0332,90.3722,24.3,17.73,60.27,0.71,0.34,7,0.03915559713670922,0,7,3
2015-01-08,Dhaka,Upazila_9,22.3309,90.859,25.87,169.6,89.33,0.71,0.34,5,0.036229869906936066,3,7,6
2015-01-08,Dhaka,Upazila_10,22.8832,89.7048,24.28,187.48,72.38,0.74,0.11,7,0.1335099798582941,2,6,5
2015-01-08,Chittagong,Upazila_1,22.2496,90.1867,26.0,99.9,88.31,0.28,0.46,7,0.02082192987683327,3,5,2
2015-01-08,Chittagong,Upazila_2,23.8299,90.402,25.06,135.07,63.33,0.35,0.27,9,0.14613010204784924,1,6,6
2015-01-08,Chittagong,Upazila_3,23.4297,90.3928,24.59,84.18,83.85,0.6,0.3,8,0.16521352605050568,2,6,8
2015-01-08,Chittagong,Upazila_4,23.61,89.7235,25.25,158.32,86.89,0.37,0.29,6,0.03470490299730174,5,9,1
2015-01-08,Chittagong,Upazila_5,22.6577,90.3108,26.19,102.7,83.52,0.46,0.22,4,0.12816526293804126,3,5,4
2015-01-08,Chittagong,Upazila_6,22.7228,89.7228,25.07,84.88,63.01,0.31,0.48,6,0.1247791672583277,2,8,2
2015-01-08,Chittagong,Upazila_7,23.2753,89.7554,26.55,60.18,72.61,0.84,0.44,3,0.0482402915199083,4,6,6
2015-01-08,Chittagong,Upazila_8,22.804,89.9546,26.83,43.96,79.8,0.9,0.11,3,0.18035239842708473,6,5,2
2015-01-08,Chittagong,Upazila_9,23.7333,90.291,24.34,51.42,89.47,0.77,0.44,4,0.019679129942679466,3,6,5
2015-01-08,Chittagong,Upazila_10,22.7416,89.5331,27.14,189.96,73.66,0.28,0.16,6,0.07443340476750267,4,9,7
2015-01-08,Rajshahi,Upazila_1,23.8269,89.4841,26.09,67.43,74.21,0.32,0.29,8,0.11300439857180322,4,3,4
2015-01-08,Rajshahi,Upazila_2,22.1918,89.6435,27.36,119.73,63.23,0.88,0.14,5,0.1521981520056188,0,6,8
2015-01-08,Rajshahi,Upazila_3,22.4912,90.9215,24.16,163.13,80.38,0.74,0.28,5,0.11599675748562627,5,4,5
2015-01-08,Rajshahi,Upazila_4,23.7036,90.361,24.97,6.67,68.84,0.46,0.34,6,0.08424961065881441,3,7,2
2015-01-08,Rajshahi,Upazila_5,23.4078,90.293,23.79,108.51,60.13,0.37,0.34,7,0.09659377441707105,1,8,3
2015-01-08,Rajshahi,Upazila_6,23.7216,89.1185,24.71,55.38,71.78,0.36,0.27,5,0.15534211139103626,1,3,4
2015-01-08,Rajshahi,Upazila_7,23.9712,89.0671,25.93,104.37,89.12,0.52,0.27,4,0.14616419299614597,3,7,4
2015-01-08,Rajshahi,Upazila_8,23.6419,89.0311,26.12,134.66,74.92,0.37,0.24,3,0.0916601283057313,4,7,2
2015-01-08,Rajshahi,Upazila_9,23.2134,90.7897,24.98,74.48,61.82,0.27,0.32,7,0.09024786883619762,2,5,6
2015-01-08,Rajshahi,Upazila_10,23.8084,89.2561,26.61,66.59,83.99,0.86,0.1,7,0.1586522700876509,5,6,5
2015-01-08,Khulna,Upazila_1,22.9857,90.6181,24.62,121.42,62.09,0.21,0.35,3,0.11195113672767652,3,10,4
2015-01-08,Khulna,Upazila_2,23.5377,90.5809,25.12,79.46,66.14,0.59,0.31,7,0.1958209876030309,3,6,4
2015-01-08,Khulna,Upazila_3,22.6437,90.5059,26.2,108.98,65.13,0.68,0.41,8,0.0894111087612851,5,6,3
2015-01-08,Khulna,Upazila_4,23.9403,90.6313,26.58,73.66,70.85,0.48,0.47,5,0.0483787656517678,0,6,6
2015-01-08,Khulna,Upazila_5,22.1731,89.9369,26.42,67.53,70.03,0.23,0.2,5,0.16627470287714197,2,13,5
2015-01-08,Khulna,Upazila_6,22.7561,89.3943,25.43,20.14,84.91,0.35,0.42,6,0.0508783161683694,2,6,3
2015-01-08,Khulna,Upazila_7,23.1624,90.421,26.77,71.12,87.51,0.36,0.49,5,0.12341330322356026,1,9,7
2015-01-08,Khulna,Upazila_8,23.0308,89.7342,25.2,107.34,67.59,0.31,0.43,3,0.022897527613181024,3,4,5
2015-01-08,Khulna,Upazila_9,23.4622,89.6771,26.39,111.66,81.53,0.63,0.48,5,0.10679349450955276,1,5,7
2015-01-08,Khulna,Upazila_10,23.4756,90.378,24.74,45.27,60.74,0.53,0.42,9,0.1202148333600466,3,5,3
2015-01-08,Barisal,Upazila_1,23.4338,90.2551,24.0,59.71,76.57,0.74,0.18,7,0.09711793993187956,0,4,2
2015-01-08,Barisal,Upazila_2,22.4948,89.9186,25.43,179.93,70.46,0.63,0.35,6,0.1653414719482975,4,8,2
2015-01-08,Barisal,Upazila_3,22.5062,89.0575,24.42,56.75,72.15,0.79,0.15,5,0.12524686428421278,6,4,6
2015-01-08,Barisal,Upazila_4,22.0686,90.3508,25.32,114.01,83.46,0.27,0.39,7,0.17270950450290903,3,13,4
2015-01-08,Barisal,Upazila_5,23.6,90.7489,25.55,150.18,72.76,0.71,0.27,3,0.09536869366356343,3,6,4
2015-01-08,Barisal,Upazila_6,23.1573,89.8881,26.41,125.81,80.56,0.41,0.45,8,0.09752556193344218,1,4,4
2015-01-08,Barisal,Upazila_7,22.1479,90.5312,25.69,59.15,74.75,0.4,0.36,3,0.08057465652652743,2,11,4
2015-01-08,Barisal,Upazila_8,22.5092,89.3512,25.04,109.45,84.21,0.74,0.46,7,0.15506923008062712,2,5,2
2015-01-08,Barisal,Upazila_9,23.9312,89.2861,25.36,107.76,81.21,0.39,0.36,1,0.04936477384038045,2,10,5
2015-01-08,Barisal,Upazila_10,23.4667,90.5865,26.21,59.18,83.66,0.47,0.43,8,0.009637202478659247,4,5,6
2015-01-15,Dhaka,Upazila_1,22.3805,90.2074,27.25,180.11,70.68,0.83,0.11,4,0.12896652080446278,4,4,1
2015-01-15,Dhaka,Upazila_2,23.6093,89.9915,24.75,43.31,72.2,0.46,0.19,1,0.08272853498372706,4,10,4
2015-01-15,Dhaka,Upazila_3,23.8847,89.9472,27.26,62.89,87.22,0.85,0.38,3,0.05996010551304718,3,7,4
2015-01-15,Dhaka,Upazila_4,22.6674,89.1309,26.81,102.58,78.72,0.55,0.4,2,0.03916661682685401,3,8,4
2015-01-15,Dhaka,Upazila_5,23.1344,90.7717,25.19,92.21,78.67,0.23,0.11,5,0.0549407630095784,4,3,9
2015-01-15,Dhaka,Upazila_6,23.0756,90.6869,26.32,116.59,89.19,0.41,0.46,3,0.12446865292344922,8,7,2
2015-01-15,Dhaka,Upazila_7,23.2925,89.652,25.03,130.23,72.76,0.7,0.36,5,0.09617802932060181,2,10,4
2015-01-15,Dhaka,Upazila_8,22.6883,89.567,25.07,136.54,82.1,0.78,0.18,4,0.00778599266513349,0,9,8
2015-01-15,Dhaka,Upazila_9,22.3434,89.3752,25.02,118.18,61.27,0.79,0.15,3,0.013801518522563262,5,8,2
2015-01-15,Dhaka,Upazila_10,23.9772,89.1407,26.97,27.92,84.72,0.21,0.22,3,0.06078850245100547,1,11,8
2015-01-15,Chittagong,Upazila_1,23.7222,90.4782,28.08,119.16,85.98,0.5,0.38,4,0.053065227511093396,4,14,8
2015-01-15,Chittagong,Upazila_2,22.6696,90.4026,25.19,80.65,89.22,0.79,0.28,3,0.16779946554360214,0,9,6
2015-01-15,Chittagong,Upazila_3,23.1871,89.7607,25.16,49.4,74.05,0.22,0.4,8,0.13480398381175854,1,7,5
2015-01-15,Chittagong,Upazila_4,23.1132,90.6303,26.82,92.33,81.31,0.84,0.41,6,0.055570555217942456,3,7,3
2015-01-15,Chittagong,Upazila_5,22.4034,89.5947,24.53,93.6,85.61,0.65,0.15,5,0.1902846441691132,1,6,5
2015-01-15,Chittagong,Upazila_6,23.4148,90.3955,26.06,113.84,63.71,0.67,0.12,4,0.11658521136085263,3,5,4
2015-01-15,Chittagong,Upazila_7,23.0683,90.8588,25.84,19.67,65.09,0.72,0.2,1,0.11789079789693944,4,4,2
2015-01-15,Chittagong,Upazila_8,22.9107,90.0089,26.21,64.21,79.95,0.37,0.18,9,0.04005640357352518,4,11,5
2015-01-15,Chittagong,Upazila_9,22.548,90.5329,25.73,142.98,61.64,0.64,0.2,2,0.1005262485260261,1,6,1
2015-01-15,Chittagong,Upazila_10,23.0544,90.3965,26.82,48.06,67.99,0.21,0.2,5,0.04999138927952425,3,10,4
2015-01-15,Rajshahi,Upazila_1,23.9407,90.4966,27.2,124.13,88.84,0.83,0.5,6,0.13878991810203137,1,1,4
2015-01-15,Rajshahi,Upazila_2,22.8202,90.487,26.0,121.25,84.1,0.89,0.29,3,0.12155053661913051,1,8,4
2015-01-15,Rajshahi,Upazila_3,22.9423,89.3379,26.6,146.21,82.76,0.57,0.15,3,0.06744131511315042,2,5,3
2015-01-15,Rajshahi,Upazila_4,23.9059,89.5499,27.74,149.84,78.43,0.64,0.4,1,0.1446887324709824,6,6,3
2015-01-15,Rajshahi,Upazila_5,22.7871,90.3393,26.0,147.03,81.58,0.67,0.47,4,0.07509378569330008,5,6,1
2015-01-15,Rajshahi,Upazila_6,22.8331,90.3906,26.93,43.12,75.66,0.5,0.29,1,0.16089892848636447,2,10,8
2015-01-15,Rajshahi,Upazila_7,23.8925,90.0857,25.24,119.9,80.33,0.44,0.5,4,0.048300125598566696,3,7,5
2015-01-15,Rajshahi,Upazila_8,23.1519,89.6564,26.87,52.58,86.27,0.41,0.48,7,0.017676989396903743,3,5,9
2015-01-15,Rajshahi,Upazila_9,23.3604,89.0035,25.57,106.27,82.35,0.25,0.23,7,0.008070165371939941,2,6,3
2015-01-15,Rajshahi,Upazila_10,22.8145,90.9788,26.66,154.55,60.67,0.36,0.11,10,0.1193703753775519,4,10,6
2015-01-15,Khulna,Upazila_1,23.7556,90.5403,26.68,48.9,61.41,0.21,0.28,6,0.003828973599367336,8,7,1
2015-01-15,Khulna,Upazila_2,23.2608,89.9666,26.47,62.09,89.96,0.53,0.34,8,0.16052806247058593,1,7,6
2015-01-15,Khulna,Upazila_3,23.269,90.59,25.62,64.76,83.42,0.47,0.47,3,0.029455112710418188,6,4,2
2015-01-15,Khulna,Upazila_4,22.9414,90.976,25.9,116.6,72.11,0.82,0.35,3,0.09690759901600217,3,6,3
2015-01-15,Khulna,Upazila_5,23.1552,90.2318,25.09,16.1,85.88,0.23,0.39,11,0.09787850748131775,5,7,5
2015-01-15,Khulna,Upazila_6,22.7458,90.5609,27.75,41.61,79.71,0.26,0.39,3,0.043741960064716645,2,7,5
2015-01-15,Khulna,Upazila_7,22.0836,90.6069,26.69,84.61,65.55,0.57,0.26,2,0.17413380682510354,4,4,2
2015-01-15,Khulna,Upazila_8,22.3558,90.3144,26.21,144.5,78.46,0.42,0.39,7,0.07957314060348544,2,7,2
2015-01-15,Khulna,Upazila_9,22.4914,89.565,25.99,114.37,61.32,0.32,0.5,2,0.00992287466776749,2,6,6
2015-01-15,Khulna,Upazila_10,23.6524,90.4287,27.81,106.89,81.43,0.67,0.36,2,0.19229846491482244,5,7,6
2015-01-15,Barisal,Upazila_1,22.3052,90.941,24.64,80.38,65.35,0.89,0.42,6,0.018472105622275702,2,12,0
2015-01-15,Barisal,Upazila_2,22.2644,90.6107,26.91,44.13,88.44,0.29,0.46,8,0.03692649146947385,3,7,4
2015-01-15,Barisal,Upazila_3,22.7986,90.1173,26.82,109.99,81.74,0.37,0.42,6,0.16531021483829286,2,4,2
2015-01-15,Barisal,Upazila_4,22.4455,90.7172,26.7,204.04,73.35,0.83,0.44,3,0.18766314573026321,5,3,4
2015-01-15,Barisal,Upazila_5,22.1612,89.4405,26.71,121.67,88.58,0.52,0.36,5,0.016937668375061367,3,10,1
2015-01-15,Barisal,Upazila_6,22.9966,89.6733,25.13,84.38,61.12,0.7,0.26,6,0.12255916710730208,2,8,4
2015-01-15,Barisal,Upazila_7,22.3145,90.344,25.07,80.22,65.9,0.66,0.35,2,0.08383657518042427,3,14,6
2015-01-15,Barisal,Upazila_8,23.5045,90.8117,26.09,115.5,65.83,0.51,0.48,6,0.05439972106887121,0,12,5
2015-01-15,Barisal,Upazila_9,23.817,90.8331,24.98,128.62,87.77,0.25,0.12,4,0.08362895763255994,3,3,2
2015-01-15,Barisal,Upazila_10,23.6756,90.8287,25.9,74.64,82.55,0.74,0.2,4,0.11478997321380209,1,4,6
2015-01-22,Dhaka,Upazila_1,22.3528,89.2141,26.61,139.0,79.87,0.82,0.45,5,0.04521581420211254,3,5,4
2015-01-22,Dhaka,Upazila_2,22.1703,90.3019,27.1,40.7,60.08,0.62,0.18,4,0.07221494526820744,2,5,5
2015-01-22,Dhaka,Upazila_3,22.6409,89.5216,27.82,125.78,82.67,0.22,0.41,6,0.054128788396353135,2,12,7
2015-01-22,Dhaka,Upazila_4,23.6839,89.6903,25.9,66.15,87.31,0.45,0.18,4,0.19583031102012313,5,8,2
2015-01-22,Dhaka,Upazila_5,22.3216,89.9016,27.13,50.61,86.18,0.86,0.13,4,0.18577190996911314,2,2,4
2015-01-22,Dhaka,Upazila_6,22.694,89.7738,27.07,103.86,63.87,0.43,0.33,5,0.017975370347232133,4,10,4
2015-01-22,Dhaka,Upazila_7,22.4484,90.5729,28.01,37.72,83.18,0.58,0.32,3,0.16630366662244472,3,3,3
2015-01-22,Dhaka,Upazila_8,23.8568,90.8031,28.02,106.71,74.86,0.49,0.15,5,0.1214270561767154,2,8,5
2015-01-22,Dhaka,Upazila_9,23.6486,90.9147,26.06,80.05,78.16,0.36,0.14,8,0.12383454707316735,1,7,3
2015-01-22,Dhaka,Upazila_10,23.8926,90.8687,28.03,213.92,84.47,0.39,0.16,3,0.09962598870960848,3,10,2
2015-01-22,Chittagong,Upazila_1,23.7923,89.2427,25.82,161.5,78.56,0.89,0.18,7,0.11690862265189164,2,8,6
2015-01-22,Chittagong,Upazila_2,22.3655,90.817,27.25,106.55,90.0,0.48,0.41,5,0.02536480451008376,2,6,4
2015-01-22,Chittagong,Upazila_3,22.3911,90.1602,25.27,59.86,82.02,0.87,0.38,3,0.01612308103392035,4,10,1
2015-01-22,Chittagong,Upazila_4,23.5195,90.5575,29.48,126.59,79.19,0.24,0.14,5,0.19650425445120775,2,4,5
2015-01-22,Chittagong,Upazila_5,23.4884,89.8134,27.27,120.91,64.51,0.41,0.44,10,0.12101790370810768,3,6,2
2015-01-22,Chittagong,Upazila_6,22.9351,90.5018,26.37,37.24,74.56,0.82,0.47,3,0.07655682008060812,3,6,1
2015-01-22,Chittagong,Upazila_7,22.8073,89.8665,27.02,33.16,73.92,0.57,0.35,5,0.03397741464381145,1,8,1
2015-01-22,Chittagong,Upazila_8,22.3614,90.1088,28.0,169.32,88.84,0.66,0.24,3,0.06707432124349248,1,7,5
2015-01-22,Chittagong,Upazila_9,22.8796,89.8624,25.95,34.39,78.35,0.72,0.22,7,0.19564413370531167,2,8,5
2015-01-22,Chittagong,Upazila_10,23.7432,90.3573,25.88,181.46,71.26,0.64,0.5,6,0.07108786747281236,3,8,5
2015-01-22,Rajshahi,Upazila_1,23.8163,90.8196,27.51,141.4,65.43,0.78,0.37,4,0.11985985740127775,2,6,3
2015-01-22,Rajshahi,Upazila_2,23.1835,90.5338,27.43,25.54,80.96,0.57,0.17,2,0.1723329769398202,7,4,4
2015-01-22,Rajshahi,Upazila_3,23.7669,90.7102,25.36,104.71,84.11,0.51,0.33,3,0.12987576404732448,3,11,3
2015-01-22,Rajshahi,Upazila_4,23.5258,89.8976,28.9,100.03,66.01,0.83,0.15,5,0.19531220466458088,7,7,4
2015-01-22,Rajshahi,Upazila_5,23.6987,90.4272,27.45,68.29,82.63,0.59,0.46,8,0.012486265455556068,2,11,4
2015-01-22,Rajshahi,Upazila_6,23.0791,90.9956,27.22,115.62,80.56,0.48,0.29,7,0.17170129091031092,3,5,5
2015-01-22,Rajshahi,Upazila_7,23.9405,90.29,26.94,190.33,63.78,0.65,0.26,8,0.07259656808077433,3,8,3
2015-01-22,Rajshahi,Upazila_8,23.5529,90.4161,27.27,101.97,68.71,0.31,0.33,6,0.10155156763771377,2,6,6
2015-01-22,Rajshahi,Upazila_9,22.2824,89.9973,27.75,16.39,84.21,0.82,0.45,5,0.08373902866553684,1,5,4
2015-01-22,Rajshahi,Upazila_10,23.3764,90.4315,25.62,25.52,78.86,0.31,0.35,3,0.19886606053714298,1,4,5
2015-01-22,Khulna,Upazila_1,23.9338,89.5166,26.64,175.21,63.89,0.75,0.17,8,0.14127439936199923,1,5,2
2015-01-22,Khulna,Upazila_2,23.655,89.4695,25.08,123.58,66.52,0.37,0.26,6,0.190680575876419,1,6,2
2015-01-22,Khulna,Upazila_3,22.9067,90.1809,27.03,165.16,74.06,0.77,0.23,4,0.1707885764283706,0,10,3
2015-01-22,Khulna,Upazila_4,23.098,90.8257,26.88,1.57,81.86,0.51,0.37,5,0.07547263535933016,1,5,4
2015-01-22,Khulna,Upazila_5,23.8259,90.3268,26.8,109.13,64.49,0.45,0.47,4,0.18761282791362627,4,7,2
2015-01-22,Khulna,Upazila_6,23.2937,90.7209,27.83,31.41,72.68,0.37,0.35,7,0.02197262274815659,3,5,1
2015-01-22,Khulna,Upazila_7,23.951,90.7973,26.31,86.8,72.22,0.33,0.34,1,0.09677204377286229,1,9,4
2015-01-22,Khulna,Upazila_8,22.2781,90.4621,27.23,93.2,88.17,0.23,0.36,4,0.093007266844182,4,12,6
2015-01-22,Khulna,Upazila_9,23.3167,90.225,28.52,52.87,67.69,0.63,0.27,6,0.04081287770932012,3,10,1
2015-01-22,Khulna,Upazila_10,22.529,89.6053,27.6,40.63,68.29,0.33,0.42,9,0.12969291138004743,2,8,4
2015-01-22,Barisal,Upazila_1,22.1365,90.7389,27.16,191.91,70.28,0.71,0.13,3,0.06441350703914595,7,4,4
2015-01-22,Barisal,Upazila_2,22.3636,90.5722,27.2,104.33,72.27,0.29,0.2,9,0.06688850542362082,3,6,5
2015-01-22,Barisal,Upazila_3,22.6598,90.333,24.77,83.99,76.13,0.25,0.43,2,0.14813271621332522,1,7,4
2015-01-22,Barisal,Upazila_4,22.5267,90.6292,26.97,66.29,60.39,0.48,0.17,1,0.01054879043244348,2,5,4
2015-01-22,Barisal,Upazila_5,22.0823,90.2315,26.07,87.01,63.83,0.64,0.36,11,0.06360792233890399,2,8,0
2015-01-22,Barisal,Upazila_6,22.1587,90.8125,26.74,119.67,65.91,0.38,0.41,5,0.11634430549469535,6,8,2
2015-01-22,Barisal,Upazila_7,23.2976,90.4612,26.49,0.37,72.97,0.45,0.48,3,0.04070697477737928,3,5,7
2015-01-22,Barisal,Upazila_8,23.5194,90.4513,27.41,91.29,74.32,0.89,0.13,7,0.012758911250719575,2,11,5
2015-01-22,Barisal,Upazila_9,23.346,89.8124,26.7,83.97,86.79,0.49,0.2,4,0.11666144963684091,4,4,2
2015-01-22,Barisal,Upazila_10,22.1562,89.1926,26.79,116.9,89.48,0.51,0.45,11,0.1725919246626037,1,8,4
2015-01-29,Dhaka,Upazila_1,23.3107,90.4824,27.0,63.95,86.29,0.47,0.13,4,0.18798487457714178,3,7,1
2015-01-29,Dhaka,Upazila_2,23.4868,89.5848,27.3,44.6,87.79,0.74,0.2,3,0.0021026449083306974,5,11,4
2015-01-29,Dhaka,Upazila_3,22.5792,89.5657,26.6,107.47,77.81,0.27,0.15,4,0.01739340405118661,5,3,3
2015-01-29,Dhaka,Upazila_4,23.5206,90.7621,27.05,17.87,66.4,0.67,0.33,7,0.19549131263676853,4,9,6
2015-01-29,Dhaka,Upazila_5,23.262,89.1392,27.42,22.84,65.17,0.55,0.15,1,0.12965950545976032,5,9,7
2015-01-29,Dhaka,Upazila_6,23.2135,89.2129,29.34,113.56,80.82,0.75,0.29,3,0.07725754102910905,3,9,3
2015-01-29,Dhaka,Upazila_7,23.4395,90.5643,28.9,130.28,64.16,0.78,0.16,2,0.16876257273166123,2,6,2
